year,Unemployment World,Unemployment World Forecast
1991,4.99634037189047,
1992,5.14993854227532,
1993,5.41783709780902,
1994,5.66775406003629,
1995,5.82078571324882,
1996,5.908677924301971,
1997,5.9540356578686895,
1998,6.12523068040456,
1999,6.26552753794956,
2000,6.13111802117014,
2001,6.223468309292819,
2002,6.46830810118524,
2003,6.571283005091199,
2004,6.44967688536565,
2005,6.366465211387319,
2006,6.10658593841064,
2007,5.89967661605856,
2008,5.936694046140369,
2009,6.51468712239899,
2010,6.38946472723596,
2011,6.24048204330454,
2012,6.22827279799595,
2013,6.167133899400999,
2014,6.016228572718609,
2015,6.04884902024336,
2016,6.01033134504685,
2017,5.91614141999205,
2018,5.75639790322219,
2019,5.582980104376299,
2020,6.585287531430709,
2021,6.03376129229278,
2022,5.26461597288318,
2023,4.96143065047416,
2024,,5.925946704681218
2025,,5.895334337800463
2026,,5.845727635680407
2027,,5.834071819944776
2028,,5.813645628117269
